date,home_team,away_team,team,scorer,minute,own_goal,penalty
2022-01-09,Cameroon,Burkina Faso,Burkina Faso,Gustavo Sangaré,24,FALSE,FALSE
2022-01-09,Cameroon,Burkina Faso,Cameroon,Vincent Aboubakar,40,FALSE,TRUE
2022-01-09,Cameroon,Burkina Faso,Cameroon,Vincent Aboubakar,45,FALSE,TRUE
2022-01-09,Ethiopia,Cape Verde,Cape Verde,Júlio Tavares,45,FALSE,FALSE
2022-01-10,Comoros,Gabon,Gabon,Aaron Boupendza,16,FALSE,FALSE
2022-01-10,Guinea,Malawi,Guinea,Issiaga Sylla,35,FALSE,FALSE
2022-01-10,Morocco,Ghana,Morocco,Sofiane Boufal,83,FALSE,FALSE
2022-01-10,Senegal,Zimbabwe,Senegal,Sadio Mané,90,FALSE,TRUE
2022-01-11,Nigeria,Egypt,Nigeria,Kelechi Iheanacho,30,FALSE,FALSE
2022-01-12,Equatorial Guinea,Ivory Coast,Ivory Coast,Max Gradel,5,FALSE,FALSE
2022-01-12,Mauritania,Gambia,Gambia,Ablie Jallow,10,FALSE,FALSE
2022-01-12,Tunisia,Mali,Mali,Ibrahima Koné,48,FALSE,TRUE
2022-01-13,Cameroon,Ethiopia,Ethiopia,Dawa Hotessa,4,FALSE,FALSE
2022-01-13,Cameroon,Ethiopia,Cameroon,Karl Toko Ekambi,8,FALSE,FALSE
2022-01-13,Cameroon,Ethiopia,Cameroon,Vincent Aboubakar,53,FALSE,FALSE
2022-01-13,Cameroon,Ethiopia,Cameroon,Vincent Aboubakar,55,FALSE,FALSE
2022-01-13,Cameroon,Ethiopia,Cameroon,Karl Toko Ekambi,68,FALSE,FALSE
2022-01-13,Cape Verde,Burkina Faso,Burkina Faso,Hassane Bandé,39,FALSE,FALSE
2022-01-14,Gabon,Ghana,Ghana,André Ayew,18,FALSE,FALSE
2022-01-14,Gabon,Ghana,Gabon,Jim Allevinah,88,FALSE,FALSE
2022-01-14,Malawi,Zimbabwe,Zimbabwe,Ishmael Wadi,38,FALSE,FALSE
2022-01-14,Malawi,Zimbabwe,Malawi,Gabadinho Mhango,43,FALSE,FALSE
2022-01-14,Malawi,Zimbabwe,Malawi,Gabadinho Mhango,58,FALSE,FALSE
2022-01-14,Morocco,Comoros,Morocco,Selim Amallah,16,FALSE,FALSE
2022-01-14,Morocco,Comoros,Morocco,Zakaria Aboukhlal,88,FALSE,FALSE
2022-01-15,Guinea-Bissau,Egypt,Egypt,Mohamed Salah,69,FALSE,FALSE
2022-01-15,Nigeria,Sudan,Nigeria,Samuel Chukwueze,3,FALSE,FALSE
2022-01-15,Nigeria,Sudan,Nigeria,Taiwo Awoniyi,45,FALSE,FALSE
2022-01-15,Nigeria,Sudan,Nigeria,Moses Simon,46,FALSE,FALSE
2022-01-15,Nigeria,Sudan,Sudan,Walieldin Khedr,70,FALSE,TRUE
2022-01-16,Algeria,Equatorial Guinea,Equatorial Guinea,Esteban Obiang,70,FALSE,FALSE
2022-01-16,Gambia,Mali,Mali,Ibrahima Koné,79,FALSE,TRUE
2022-01-16,Gambia,Mali,Gambia,Musa Barrow,90,FALSE,TRUE
2022-01-16,Ivory Coast,Sierra Leone,Ivory Coast,Sébastien Haller,25,FALSE,FALSE
2022-01-16,Ivory Coast,Sierra Leone,Sierra Leone,Musa Noah Kamara,55,FALSE,FALSE
2022-01-16,Ivory Coast,Sierra Leone,Ivory Coast,Nicolas Pépé,65,FALSE,FALSE
2022-01-16,Ivory Coast,Sierra Leone,Sierra Leone,Alhaji Kamara,90,FALSE,FALSE
2022-01-16,Tunisia,Mauritania,Tunisia,Hamza Mathlouthi,4,FALSE,FALSE
2022-01-16,Tunisia,Mauritania,Tunisia,Wahbi Khazri,9,FALSE,FALSE
2022-01-16,Tunisia,Mauritania,Tunisia,Wahbi Khazri,64,FALSE,FALSE
2022-01-16,Tunisia,Mauritania,Tunisia,Seifeddine Jaziri,66,FALSE,FALSE
2022-01-17,Burkina Faso,Ethiopia,Burkina Faso,Cyrille Bayala,25,FALSE,FALSE
2022-01-17,Burkina Faso,Ethiopia,Ethiopia,Getaneh Kebede,52,FALSE,TRUE
2022-01-17,Cameroon,Cape Verde,Cameroon,Vincent Aboubakar,39,FALSE,FALSE
2022-01-17,Cameroon,Cape Verde,Cape Verde,Garry Rodrigues,53,FALSE,FALSE
2022-01-18,Gabon,Morocco,Gabon,Jim Allevinah,21,FALSE,FALSE
2022-01-18,Gabon,Morocco,Morocco,Sofiane Boufal,74,FALSE,TRUE
2022-01-18,Gabon,Morocco,Gabon,Nayef Aguerd,81,TRUE,FALSE
2022-01-18,Gabon,Morocco,Morocco,Achraf Hakimi,84,FALSE,FALSE
2022-01-18,Ghana,Comoros,Comoros,El Fardou Ben Nabouhane,4,FALSE,FALSE
2022-01-18,Ghana,Comoros,Comoros,Ahmed Mogni,62,FALSE,FALSE
2022-01-18,Ghana,Comoros,Ghana,Richmond Boakye,64,FALSE,FALSE
2022-01-18,Ghana,Comoros,Ghana,Alexander Djiku,77,FALSE,FALSE
2022-01-18,Ghana,Comoros,Comoros,Ahmed Mogni,85,FALSE,FALSE
2022-01-18,Zimbabwe,Guinea,Zimbabwe,Knowledge Musona,26,FALSE,FALSE
2022-01-18,Zimbabwe,Guinea,Zimbabwe,Kudakwashe Mahachi,43,FALSE,FALSE
2022-01-18,Zimbabwe,Guinea,Guinea,Naby Keïta,49,FALSE,FALSE
2022-01-19,Egypt,Sudan,Egypt,Mohamed Abdelmonem,35,FALSE,FALSE
2022-01-19,Guinea-Bissau,Nigeria,Nigeria,Umar Sadiq,56,FALSE,FALSE
2022-01-19,Guinea-Bissau,Nigeria,Nigeria,William Troost-Ekong,75,FALSE,FALSE
2022-01-20,Gambia,Tunisia,Gambia,Ablie Jallow,90,FALSE,FALSE
2022-01-20,Ivory Coast,Algeria,Ivory Coast,Franck Kessié,22,FALSE,FALSE
2022-01-20,Ivory Coast,Algeria,Ivory Coast,Ibrahim Sangaré,39,FALSE,FALSE
2022-01-20,Ivory Coast,Algeria,Ivory Coast,Nicolas Pépé,54,FALSE,FALSE
2022-01-20,Ivory Coast,Algeria,Algeria,Sofiane Bendebka,73,FALSE,FALSE
2022-01-20,Mali,Mauritania,Mali,Massadio Haïdara,2,FALSE,FALSE
2022-01-20,Mali,Mauritania,Mali,Ibrahima Koné,49,FALSE,TRUE
2022-01-20,Sierra Leone,Equatorial Guinea,Equatorial Guinea,Pablo Ganet,38,FALSE,FALSE
2022-01-23,Burkina Faso,Gabon,Burkina Faso,Bertrand Traoré,28,FALSE,FALSE
2022-01-23,Burkina Faso,Gabon,Gabon,Adama Guira,90,TRUE,FALSE
2022-01-23,Nigeria,Tunisia,Tunisia,Youssef Msakni,47,FALSE,FALSE
2022-01-24,Cameroon,Comoros,Cameroon,Karl Toko Ekambi,29,FALSE,FALSE
2022-01-24,Cameroon,Comoros,Cameroon,Vincent Aboubakar,70,FALSE,FALSE
2022-01-24,Cameroon,Comoros,Comoros,Youssouf M'Changama,81,FALSE,FALSE
2022-01-24,Guinea,Gambia,Gambia,Musa Barrow,71,FALSE,FALSE
2022-01-25,Morocco,Malawi,Malawi,Gabadinho Mhango,7,FALSE,FALSE
2022-01-25,Morocco,Malawi,Morocco,Youssef En-Nesyri,45,FALSE,FALSE
2022-01-25,Morocco,Malawi,Morocco,Achraf Hakimi,70,FALSE,FALSE
2022-01-25,Senegal,Cape Verde,Senegal,Sadio Mané,63,FALSE,FALSE
2022-01-25,Senegal,Cape Verde,Senegal,Bamba Dieng,90,FALSE,FALSE
2022-01-27,Australia,Vietnam,Australia,Jamie Maclaren,30,FALSE,FALSE
2022-01-27,Australia,Vietnam,Australia,Tom Rogic,45,FALSE,FALSE
2022-01-27,Australia,Vietnam,Australia,Craig Goodwin,72,FALSE,FALSE
2022-01-27,Australia,Vietnam,Australia,Riley McGree,76,FALSE,FALSE
2022-01-27,Chile,Argentina,Argentina,Ángel Di María,10,FALSE,FALSE
2022-01-27,Chile,Argentina,Chile,Ben Brereton Díaz,21,FALSE,FALSE
2022-01-27,Chile,Argentina,Argentina,Lautaro Martínez,34,FALSE,FALSE
2022-01-27,Costa Rica,Panama,Costa Rica,Bryan Ruiz,65,FALSE,FALSE
2022-01-27,Ecuador,Brazil,Brazil,Casemiro,6,FALSE,FALSE
2022-01-27,Ecuador,Brazil,Ecuador,Félix Torres,75,FALSE,FALSE
2022-01-27,Honduras,Canada,Canada,Denil Maldonado,10,TRUE,FALSE
2022-01-27,Honduras,Canada,Canada,Jonathan David,73,FALSE,FALSE
2022-01-27,Iran,Iraq,Iran,Mehdi Taremi,48,FALSE,FALSE
2022-01-27,Jamaica,Mexico,Jamaica,Daniel Johnson,50,FALSE,FALSE
2022-01-27,Jamaica,Mexico,Mexico,Henry Martín,82,FALSE,FALSE
2022-01-27,Jamaica,Mexico,Mexico,Alexis Vega,83,FALSE,FALSE
2022-01-27,Japan,China PR,Japan,Yuya Osako,13,FALSE,TRUE
2022-01-27,Japan,China PR,Japan,Junya Ito,61,FALSE,FALSE
2022-01-27,Lebanon,South Korea,South Korea,Cho Gue-sung,45,FALSE,FALSE
2022-01-27,Paraguay,Uruguay,Uruguay,Luis Suárez,50,FALSE,FALSE
2022-01-27,Saudi Arabia,Oman,Saudi Arabia,Firas Al-Buraikan,48,FALSE,FALSE
2022-01-27,United Arab Emirates,Syria,United Arab Emirates,Caio Canedo,43,FALSE,FALSE
2022-01-27,United Arab Emirates,Syria,United Arab Emirates,Yahya Al-Ghassani,70,FALSE,FALSE
2022-01-27,United States,El Salvador,United States,Antonee Robinson,52,FALSE,FALSE
2022-01-28,Colombia,Peru,Peru,Edison Flores,85,FALSE,FALSE
2022-01-28,Venezuela,Bolivia,Venezuela,Salomón Rondón,24,FALSE,FALSE
2022-01-28,Venezuela,Bolivia,Venezuela,Salomón Rondón,34,FALSE,FALSE
2022-01-28,Venezuela,Bolivia,Bolivia,Bruno Miranda,38,FALSE,FALSE
2022-01-28,Venezuela,Bolivia,Venezuela,Darwin Machís,55,FALSE,FALSE
2022-01-28,Venezuela,Bolivia,Venezuela,Salomón Rondón,67,FALSE,FALSE
2022-01-29,Burkina Faso,Tunisia,Burkina Faso,Dango Ouattara,45,FALSE,FALSE
2022-01-29,Cameroon,Gambia,Cameroon,Karl Toko Ekambi,50,FALSE,FALSE
2022-01-29,Cameroon,Gambia,Cameroon,Karl Toko Ekambi,57,FALSE,FALSE
2022-01-30,Canada,United States,Canada,Cyle Larin,7,FALSE,FALSE
2022-01-30,Canada,United States,Canada,Sam Adekugbe,90,FALSE,FALSE
2022-01-30,Egypt,Morocco,Morocco,Sofiane Boufal,7,FALSE,TRUE
2022-01-30,Egypt,Morocco,Egypt,Mohamed Salah,53,FALSE,FALSE
2022-01-30,Egypt,Morocco,Egypt,Trézéguet,100,FALSE,FALSE
2022-01-30,Honduras,El Salvador,El Salvador,Nelson Bonilla,35,FALSE,FALSE
2022-01-30,Honduras,El Salvador,El Salvador,Darwin Cerén,90,FALSE,FALSE
