date,home_team,away_team,winner,first_shooter
2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon
2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast
2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
2022-02-03,Cameroon,Egypt,Egypt,Cameroon
2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon
2022-02-06,Senegal,Egypt,Senegal,Senegal
2022-03-25,Tajikistan,Uganda,Uganda,
2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova
2022-03-29,Senegal,Egypt,Senegal,Senegal
2022-06-13,Australia,Peru,Australia,Australia
2022-06-14,Chile,Ghana,Ghana,Chile
2022-07-12,Zambia,Botswana,Zambia,
2022-07-13,South Africa,Mozambique,Mozambique,
2022-07-13,Senegal,Eswatini,Senegal,
2022-07-17,Mozambique,Senegal,Senegal,
2022-09-22,Thailand,Malaysia,Malaysia,
2022-09-23,Iraq,Oman,Oman,
2022-09-25,Malaysia,Tajikistan,Tajikistan,
2022-11-16,Lithuania,Iceland,Iceland,Lithuania
2022-11-16,Latvia,Estonia,Latvia,Latvia
2022-11-19,Latvia,Iceland,Iceland,Iceland
2022-12-05,Japan,Croatia,Croatia,Japan
2022-12-06,Morocco,Spain,Morocco,Morocco
2022-12-09,Croatia,Brazil,Croatia,Croatia
2022-12-09,Netherlands,Argentina,Argentina,Netherlands
2022-12-18,Argentina,France,Argentina,France
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
2023-06-17,Guyana,Grenada,Guyana,Guyana
2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname
2023-06-18,Croatia,Spain,Spain,Croatia
2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana
2023-07-01,India,Lebanon,India,India
2023-07-04,India,Kuwait,India,India
2023-07-09,United States,Canada,United States,Canada
2023-07-09,Orkney,Greenland,Greenland,
2023-07-12,United States,Panama,Panama,United States
2023-07-13,Åland Islands,Falkland Islands,Åland Islands,Åland Islands
2023-07-14,Malawi,Lesotho,Lesotho,
2023-07-16,South Africa,Malawi,South Africa,
2023-09-07,Iraq,India,Iraq,India
2023-09-10,Thailand,Iraq,Iraq,Thailand
2023-10-13,Iraq,Qatar,Qatar,Qatar
2023-11-21,Mexico,Honduras,Mexico,Mexico
2023-12-02,Solomon Islands,New Caledonia,New Caledonia,
2024-01-28,Egypt,DR Congo,DR Congo,Egypt
2024-01-28,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan
2024-01-29,Ivory Coast,Senegal,Ivory Coast,Senegal
2024-01-30,Saudi Arabia,South Korea,South Korea,Saudi Arabia
2024-01-31,Iran,Syria,Iran,Iran
2024-02-03,Cape Verde,South Africa,South Africa,Cape Verde
2024-02-03,Qatar,Uzbekistan,Qatar,Uzbekistan
2024-02-07,Nigeria,South Africa,Nigeria,Nigeria
2024-03-23,Tunisia,Croatia,Croatia,Croatia
