date,round,group,home_team,away_team,home_score,away_score,extra_time,pen_home,pen_away,pen_winner,tournament,confederation
2025-03-21,,Groupe H,Cyprus,San Marino,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-03-21,,Groupe K,England,Albania,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-03-21,,Groupe G,Poland,Lithuania,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-03-21,,Groupe G,Malta,Finland,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-21,,Groupe K,Andorra,Latvia,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-21,,Groupe H,Romania,Bosnia and Herzegovina,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-22,,Groupe J,Liechtenstein,North Macedonia,0,3,False,,,,FIFA World Cup qualification,UEFA
2025-03-22,,Groupe L,Montenegro,Gibraltar,3,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-22,,Groupe I,Moldova,Norway,0,5,False,,,,FIFA World Cup qualification,UEFA
2025-03-22,,Groupe J,Wales,Kazakhstan,3,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-22,,Groupe I,Israel,Estonia,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-22,,Groupe L,Czech Republic,Faroe Islands,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-24,2e journée,Groupe G,Lithuania,Finland,2,2,False,,,,FIFA World Cup qualification,UEFA
2025-03-24,2e journée,Groupe K,England,Latvia,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-03-24,2e journée,Groupe G,Poland,Malta,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-03-24,2e journée,Groupe H,San Marino,Romania,1,5,False,,,,FIFA World Cup qualification,UEFA
2025-03-24,2e journée,Groupe H,Bosnia and Herzegovina,Cyprus,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-24,2e journée,Groupe K,Albania,Andorra,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-03-25,2e journée,Groupe I,Moldova,Estonia,2,3,False,,,,FIFA World Cup qualification,UEFA
2025-03-25,2e journée,Groupe I,Israel,Norway,2,4,False,,,,FIFA World Cup qualification,UEFA
2025-03-25,2e journée,Groupe J,Liechtenstein,Kazakhstan,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-03-25,2e journée,Groupe J,North Macedonia,Wales,1,1,False,,,,FIFA World Cup qualification,UEFA
2025-03-25,2e journée,Groupe L,Gibraltar,Czech Republic,0,4,False,,,,FIFA World Cup qualification,UEFA
2025-03-25,2e journée,Groupe L,Montenegro,Faroe Islands,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-06,3e journée,Groupe I,Estonia,Israel,1,3,False,,,,FIFA World Cup qualification,UEFA
2025-06-06,3e journée,Groupe I,Norway,Italy,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-06,3e journée,Groupe J,North Macedonia,Belgium,1,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-06,3e journée,Groupe J,Wales,Liechtenstein,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-06,3e journée,Groupe L,Czech Republic,Montenegro,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-06,3e journée,Groupe L,Gibraltar,Croatia,0,7,False,,,,FIFA World Cup qualification,UEFA
2025-06-07,3e journée,Groupe G,Malta,Lithuania,0,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-07,3e journée,Groupe H,Bosnia and Herzegovina,San Marino,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-07,3e journée,Groupe K,Andorra,England,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-07,3e journée,Groupe G,Finland,Netherlands,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-06-07,3e journée,Groupe H,Austria,Romania,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-07,3e journée,Groupe K,Albania,Serbia,0,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-09,4e journée,Groupe I,Estonia,Norway,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-09,4e journée,Groupe I,Italy,Moldova,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-09,4e journée,Groupe J,Belgium,Wales,4,3,False,,,,FIFA World Cup qualification,UEFA
2025-06-09,4e journée,Groupe J,Kazakhstan,North Macedonia,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-09,4e journée,Groupe L,Croatia,Czech Republic,5,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-09,4e journée,Groupe L,Faroe Islands,Gibraltar,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-10,4e journée,Groupe G,Finland,Poland,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-10,4e journée,Groupe G,Netherlands,Malta,8,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-10,4e journée,Groupe H,Romania,Cyprus,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-06-10,4e journée,Groupe H,San Marino,Austria,0,4,False,,,,FIFA World Cup qualification,UEFA
2025-06-10,4e journée,Groupe K,Latvia,Albania,1,1,False,,,,FIFA World Cup qualification,UEFA
2025-06-10,4e journée,Groupe K,Serbia,Andorra,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe A,Luxembourg,Northern Ireland,1,3,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe A,Slovakia,Germany,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe E,Bulgaria,Spain,0,3,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe E,Georgia,Turkey,2,3,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe G,Lithuania,Malta,1,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe G,Netherlands,Poland,1,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe J,Kazakhstan,Wales,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-04,5e journée,Groupe J,Liechtenstein,Belgium,0,6,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe B,Slovenia,Sweden,2,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe B,Switzerland,Kosovo,4,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe C,Denmark,Scotland,0,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe C,Greece,Belarus,5,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe D,Iceland,Azerbaijan,5,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe D,Ukraine,France,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe I,Italy,Estonia,5,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe I,Moldova,Israel,0,4,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe L,Faroe Islands,Croatia,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-05,5e journée,Groupe L,Montenegro,Czech Republic,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-06,5e journée,Groupe F,Armenia,Portugal,0,5,False,,,,FIFA World Cup qualification,UEFA
2025-09-06,5e journée,Groupe F,Republic of Ireland,Hungary,2,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-06,5e journée,Groupe H,Austria,Cyprus,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-06,5e journée,Groupe H,San Marino,Bosnia and Herzegovina,0,6,False,,,,FIFA World Cup qualification,UEFA
2025-09-06,5e journée,Groupe K,England,Andorra,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-06,5e journée,Groupe K,Latvia,Serbia,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe A,Germany,Northern Ireland,3,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe A,Luxembourg,Slovakia,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe E,Georgia,Bulgaria,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe E,Turkey,Spain,0,6,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe G,Lithuania,Netherlands,2,3,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe G,Poland,Finland,3,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe J,Belgium,Kazakhstan,6,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-07,6e journée,Groupe J,North Macedonia,Liechtenstein,5,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe B,Kosovo,Sweden,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe B,Switzerland,Slovenia,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe C,Belarus,Scotland,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe C,Greece,Denmark,0,3,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe I,Israel,Italy,4,5,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe L,Croatia,Montenegro,4,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-08,6e journée,Groupe L,Gibraltar,Faroe Islands,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe I,Norway,Moldova,11,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe D,Azerbaijan,Ukraine,1,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe D,France,Iceland,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe F,Armenia,Republic of Ireland,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe F,Hungary,Portugal,2,3,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe H,Bosnia and Herzegovina,Austria,1,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe H,Cyprus,Romania,2,2,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe K,Albania,Latvia,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-09-09,6e journée,Groupe K,Serbia,England,0,5,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe C,Belarus,Denmark,0,6,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe C,Scotland,Greece,3,1,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe H,Austria,San Marino,10,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe H,Cyprus,Bosnia and Herzegovina,2,2,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe L,Czech Republic,Croatia,0,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe L,Faroe Islands,Montenegro,4,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe G,Finland,Lithuania,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-10-09,7e journée,Groupe G,Malta,Netherlands,0,4,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe A,Germany,Luxembourg,4,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe A,Northern Ireland,Slovakia,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe B,Kosovo,Slovenia,0,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe B,Sweden,Switzerland,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe D,France,Azerbaijan,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe D,Iceland,Ukraine,3,5,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe J,Belgium,North Macedonia,0,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-10,7e journée,Groupe J,Kazakhstan,Liechtenstein,4,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe E,Bulgaria,Turkey,1,6,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe E,Spain,Georgia,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe F,Portugal,Republic of Ireland,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe F,Hungary,Armenia,2,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe I,Estonia,Italy,1,3,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe I,Norway,Israel,5,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe K,Latvia,Andorra,2,2,False,,,,FIFA World Cup qualification,UEFA
2025-10-11,7e journée,Groupe K,Serbia,Albania,0,1,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe C,Denmark,Greece,3,1,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe C,Scotland,Belarus,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe G,Lithuania,Poland,0,2,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe G,Netherlands,Finland,4,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe H,Romania,Austria,1,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe H,San Marino,Cyprus,0,4,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe L,Croatia,Gibraltar,3,0,False,,,,FIFA World Cup qualification,UEFA
2025-10-12,8e journée,Groupe L,Faroe Islands,Czech Republic,2,1,False,,,,FIFA World Cup qualification,UEFA
2025-10-13,8e journée,Groupe A,Northern Ireland,Germany,0,1,False,,,,FIFA World Cup qualification,UEFA
